,Iteration,Reward,States,Runtime,Iterations
0,1,79.49232984724466,20,0.13484907150268555,18
1,2,79.49232984724466,20,0.13484907150268555,18
2,3,79.49232984724466,20,0.13484907150268555,18
3,4,79.49232984724466,20,0.13484907150268555,18
4,5,79.49232984724466,20,0.13484907150268555,18
5,6,79.49232984724466,20,0.13484907150268555,18
6,7,79.49232984724466,20,0.13484907150268555,18
7,8,79.49232984724466,20,0.13484907150268555,18
8,9,79.49232984724466,20,0.13484907150268555,18
9,10,79.49232984724466,20,0.13484907150268555,18
10,11,79.49232984724466,20,0.13484907150268555,18
11,12,79.49232984724466,20,0.13484907150268555,18
12,13,79.49232984724466,20,0.13484907150268555,18
13,14,79.49232984724466,20,0.13484907150268555,18
14,15,79.49232984724466,20,0.13484907150268555,18
15,16,79.49232984724466,20,0.13484907150268555,18
16,17,79.49232984724466,20,0.13484907150268555,18
17,18,79.49232984724466,20,0.13484907150268555,18
0,1,79.49232984724466,200,0.6738541126251221,18
1,2,79.49232984724466,200,0.6738541126251221,18
2,3,79.49232984724466,200,0.6738541126251221,18
3,4,79.49232984724466,200,0.6738541126251221,18
4,5,79.49232984724466,200,0.6738541126251221,18
5,6,79.49232984724466,200,0.6738541126251221,18
6,7,79.49232984724466,200,0.6738541126251221,18
7,8,79.49232984724466,200,0.6738541126251221,18
8,9,79.49232984724466,200,0.6738541126251221,18
9,10,79.49232984724466,200,0.6738541126251221,18
10,11,79.49232984724466,200,0.6738541126251221,18
11,12,79.49232984724466,200,0.6738541126251221,18
12,13,79.49232984724466,200,0.6738541126251221,18
13,14,79.49232984724466,200,0.6738541126251221,18
14,15,79.49232984724466,200,0.6738541126251221,18
15,16,79.49232984724466,200,0.6738541126251221,18
16,17,79.49232984724466,200,0.6738541126251221,18
17,18,79.49232984724466,200,0.6738541126251221,18
0,1,79.49232984724466,1000,2.989179849624634,18
1,2,79.49232984724466,1000,2.989179849624634,18
2,3,79.49232984724466,1000,2.989179849624634,18
3,4,79.49232984724466,1000,2.989179849624634,18
4,5,79.49232984724466,1000,2.989179849624634,18
5,6,79.49232984724466,1000,2.989179849624634,18
6,7,79.49232984724466,1000,2.989179849624634,18
7,8,79.49232984724466,1000,2.989179849624634,18
8,9,79.49232984724466,1000,2.989179849624634,18
9,10,79.49232984724466,1000,2.989179849624634,18
10,11,79.49232984724466,1000,2.989179849624634,18
11,12,79.49232984724466,1000,2.989179849624634,18
12,13,79.49232984724466,1000,2.989179849624634,18
13,14,79.49232984724466,1000,2.989179849624634,18
14,15,79.49232984724466,1000,2.989179849624634,18
15,16,79.49232984724466,1000,2.989179849624634,18
16,17,79.49232984724466,1000,2.989179849624634,18
17,18,79.49232984724466,1000,2.989179849624634,18
0,1,79.49232984724466,2000,15.867745161056519,18
1,2,79.49232984724466,2000,15.867745161056519,18
2,3,79.49232984724466,2000,15.867745161056519,18
3,4,79.49232984724466,2000,15.867745161056519,18
4,5,79.49232984724466,2000,15.867745161056519,18
5,6,79.49232984724466,2000,15.867745161056519,18
6,7,79.49232984724466,2000,15.867745161056519,18
7,8,79.49232984724466,2000,15.867745161056519,18
8,9,79.49232984724466,2000,15.867745161056519,18
9,10,79.49232984724466,2000,15.867745161056519,18
10,11,79.49232984724466,2000,15.867745161056519,18
11,12,79.49232984724466,2000,15.867745161056519,18
12,13,79.49232984724466,2000,15.867745161056519,18
13,14,79.49232984724466,2000,15.867745161056519,18
14,15,79.49232984724466,2000,15.867745161056519,18
15,16,79.49232984724466,2000,15.867745161056519,18
16,17,79.49232984724466,2000,15.867745161056519,18
17,18,79.49232984724466,2000,15.867745161056519,18
0,1,79.49232984724466,5000,92.95716691017151,18
1,2,79.49232984724466,5000,92.95716691017151,18
2,3,79.49232984724466,5000,92.95716691017151,18
3,4,79.49232984724466,5000,92.95716691017151,18
4,5,79.49232984724466,5000,92.95716691017151,18
5,6,79.49232984724466,5000,92.95716691017151,18
6,7,79.49232984724466,5000,92.95716691017151,18
7,8,79.49232984724466,5000,92.95716691017151,18
8,9,79.49232984724466,5000,92.95716691017151,18
9,10,79.49232984724466,5000,92.95716691017151,18
10,11,79.49232984724466,5000,92.95716691017151,18
11,12,79.49232984724466,5000,92.95716691017151,18
12,13,79.49232984724466,5000,92.95716691017151,18
13,14,79.49232984724466,5000,92.95716691017151,18
14,15,79.49232984724466,5000,92.95716691017151,18
15,16,79.49232984724466,5000,92.95716691017151,18
16,17,79.49232984724466,5000,92.95716691017151,18
17,18,79.49232984724466,5000,92.95716691017151,18
0,1,79.49232984724466,10000,373.1042551994324,18
1,2,79.49232984724466,10000,373.1042551994324,18
2,3,79.49232984724466,10000,373.1042551994324,18
3,4,79.49232984724466,10000,373.1042551994324,18
4,5,79.49232984724466,10000,373.1042551994324,18
5,6,79.49232984724466,10000,373.1042551994324,18
6,7,79.49232984724466,10000,373.1042551994324,18
7,8,79.49232984724466,10000,373.1042551994324,18
8,9,79.49232984724466,10000,373.1042551994324,18
9,10,79.49232984724466,10000,373.1042551994324,18
10,11,79.49232984724466,10000,373.1042551994324,18
11,12,79.49232984724466,10000,373.1042551994324,18
12,13,79.49232984724466,10000,373.1042551994324,18
13,14,79.49232984724466,10000,373.1042551994324,18
14,15,79.49232984724466,10000,373.1042551994324,18
15,16,79.49232984724466,10000,373.1042551994324,18
16,17,79.49232984724466,10000,373.1042551994324,18
17,18,79.49232984724466,10000,373.1042551994324,18
